,Qid,label,topic,probability,Modularity Class
10602046,Q15628924,List_of_Atlanta_Falcons_starting_quarterbacks,-1,-1,2
2950170,Q7278932,Race_and_appearance_of_Jesus,-1,-1,6
27397178,Q5868738,History_of_rugby_union_matches_between_Munster_and_New_Zealand,-1,-1,0
20713710,Q369814,John_Carter_(Texas_politician),-1,-1,8
2819206,Q5233259,David_Edelstein,-1,-1,9
8827552,Q6397297,Kevin_Wilson_(American_football),-1,-1,2
2701420,Q3595559,Nafisa_Ali,-1,-1,1
1342636,Q1473243,South_Andaman_Island,-1,-1,7
4762820,Q7949872,WGN_Morning_News,-1,-1,3
177496,Q333336,"Albert_Grey,_4th_Earl_Grey",-1,-1,2
48584276,Q20645466,Juliana_Awada,-1,-1,6
1450118,Q5398368,Esma_Cannon,-1,-1,11
58025318,Q56062874,2018_Alamo_Bowl,-1,-1,2
1071538,Q3487430,The_Return_of_the_Archons,-1,-1,9
60280,Q183492,Margaret_Atwood,-1,-1,9
13495618,Q4887705,Bengals?Browns_rivalry,-1,-1,2
49429724,Q23013815,Srirastu_Subhamastu,-1,-1,3
3382014,Q445620,Elizabeth_May,-1,-1,8
45146256,Q19760783,Innate_resistance_to_HIV,-1,-1,10
91052,Q127031,Taiwan_Strait,-1,-1,6
2147572,Q1424397,Kendall_Gill,-1,-1,3
6537930,Q4894124,Berners_Street_hoax,-1,-1,10
57112196,Q55322357,Jessica_Jones_(season_3),-1,-1,3
6311052,Q1389353,United_States_Davis_Cup_team,-1,-1,3
57881144,Q55584468,Chad_Kanoff,-1,-1,2
1750,Q186233,Andaman_Islands,-1,-1,7
685328,Q623109,Sports_league,-1,-1,11
4681476,Q2564371,Ambarisha,-1,-1,3
37858030,Q1392235,Anthony_Lopes,-1,-1,6
1607446,Q6152775,Jane_Skinner,-1,-1,1
55362964,Q12239138,Abdul_Latif_Jameel,-1,-1,8
25070018,Q7569944,Southern_Gas_Corridor,-1,-1,6
37310642,Q24237,Andrew_Nabbout,-1,-1,11
339562,Q740662,Camera_lucida,-1,-1,11
518436,Q1049657,The_Scotsman,-1,-1,0
58603502,Q55424114,Ivanhorod_Einsatzgruppen_photograph,-1,-1,6
8576918,Q1795987,Blood_and_Sand_(1941_film),-1,-1,3
38802918,Q182905,Georgi_Plekhanov,-1,-1,5
1874546,Q947065,Arizona_Stadium,-1,-1,2
5013082,Q19363842,Snowed_Under,-1,-1,3
88678,Q36479,The_Lion_King,-1,-1,3
26522464,Q3897558,Pat_Walshe,-1,-1,3
17256340,Q2070808,Jilava_massacre,-1,-1,6
4081870,Q2476473,Oakville_Assembly,-1,-1,8
39145444,Q751846,Partner_(1968_film),-1,-1,12
3713668,Q2566213,Second_City_derby,-1,-1,11
10652530,Q4602640,2004_Cleveland_Browns_season,-1,-1,2
1904584,Q4772615,Anthony_Grant,-1,-1,1
1973680,Q4819684,Audenshaw_Reservoirs,-1,-1,7
1244968,Q2090195,First_contact_(anthropology),-1,-1,7
510764,Q152543,Einsatzgruppen,-1,-1,6
1444470,Q1769264,Jill_Talley,-1,-1,9
42545064,Q15717047,Olavina_Udugore,-1,-1,3
35623176,Q1894,Memphis_Depay,-1,-1,11
37784254,Q213030,United_Nations_General_Assembly_resolution_67/19,-1,-1,6
2130238,Q280829,Jermaine_Jones,-1,-1,11
1963198,Q1432865,Seletar_Airport,-1,-1,6
41337476,Q16995516,The_Jump,-1,-1,0
94834,Q339724,"DeSoto_County,_Mississippi",-1,-1,9
46227806,Q19757481,Henry_Anderson_(American_football),-1,-1,2
14663020,-1,List_of_Middle-earth_animals,-1,-1,6
50528,Q115148,"Dutchess_County,_New_York",-1,-1,9
3584478,Q934021,His_Kind_of_Woman,-1,-1,3
9534924,Q2224379,Sarah_Hanson-Young,-1,-1,10
38462066,Q6674905,Lood_de_Jager,-1,-1,0
37799684,Q5169738,Corbett_Monica,-1,-1,1
59172384,Q59779835,We_Appreciate_Power,-1,-1,0
5211984,Q265055,Daniel_Prodan,-1,-1,11
3256268,Q7550572,"Social_Democratic_Party_(UK,_1990?present)",-1,-1,10
20891120,Q4909894,Bill_Leonard_(journalist),-1,-1,1
7606574,Q1189495,Shi_Jingtang,-1,-1,10
328406,Q851838,"Delta,_British_Columbia",-1,-1,2
32321390,Q6848426,Mike_Posner_discography,-1,-1,3
4105584,Q2904669,Bill_Musgrave,-1,-1,2
54441288,Q39086235,German_football_rivalries,-1,-1,11
4602548,Q6408931,Kim_Jones_(reporter),-1,-1,9
38541516,Q11831154,2019_Africa_Cup_of_Nations,-1,-1,11
12470766,Q978126,Jorge_Villafa?a,-1,-1,11
59015042,Q55735991,Hyundai_Palisade,-1,-1,11
18305118,Q6005127,Immigration_sign,-1,-1,9
585176,Q5733187,Herb_Sendek,-1,-1,1
31751830,Q7286024,Rajendra_Singh_Babu,-1,-1,3
50375396,Q24053586,Dean_Lowry,-1,-1,2
8325928,Q7704100,Terry_Beasley,-1,-1,2
59151664,Q59191075,Junior_Eurovision_Song_Contest_2019,-1,-1,6
1901762,Q1680811,Mel_White,-1,-1,9
3119836,Q560947,Nordseewerke,-1,-1,1
1889380,Q6103910,J.B._(play),-1,-1,9
31537920,Q4202130,The_Emperor_of_All_Maladies,-1,-1,9
14978984,Q435974,Stephanie_Gilmore,-1,-1,0
106418,Q909554,Computational_physics,-1,-1,8
27665478,Q7044786,No_Place_for_Jennifer,-1,-1,3
4387450,Q6268659,Johnston_Press,-1,-1,11
38686320,Q5870838,George_Saville,-1,-1,11
2652372,Q816620,Ben_Thatcher,-1,-1,11
22351888,Q230850,Irina_Bokova,-1,-1,6
13716430,Q5982758,Ian_Robertson_(rugby_commentator),-1,-1,0
2555800,Q1154226,Aura_(paranormal),-1,-1,10
57681472,Q54999205,Emily_Jane_Fox,-1,-1,9
42628682,Q16822229,2016_Copa_Libertadores,-1,-1,11
2206188,Q463204,Frances_Langford,-1,-1,3
11132004,Q3809737,Johnny_Neumann,-1,-1,1
39562,Q161764,Geochemistry,-1,-1,8
2178566,Q6251848,John_Panozzo,-1,-1,12
18208266,Q5445578,Fertility_and_intelligence,-1,-1,10
1198098,Q459101,Aruba_national_football_team,-1,-1,11
28636190,Q7314363,Repton_Abbey,-1,-1,4
27150054,Q1341709,"Dudu_(footballer,_born_1992)",-1,-1,11
9647782,Q549789,Anita_Harris,-1,-1,3
38173632,Q6969650,Nathaniel_Hackett,-1,-1,2
17122312,Q16147458,List_of_Atlanta_Falcons_head_coaches,-1,-1,2
4370880,Q5985273,Ice_Follies,-1,-1,3
42307048,Q16000500,Opportunity_mission_timeline,-1,-1,8
577570,Q672227,Bloodhound_(missile),-1,-1,6
1657070,Q7407762,Sam_Kydd,-1,-1,3
50446564,Q24053943,Austin_Blythe,-1,-1,2
50328006,Q24006473,Daniel_Wright_(footballer),-1,-1,11
46521626,Q19867437,Titus_Davis,-1,-1,2
57761952,Q55634975,Terry_Williams_(running_back),-1,-1,2
5495032,Q3600320,A._J._Guyton,-1,-1,1
16915756,Q6222411,John_Bonamego,-1,-1,9
9895126,Q109193,Carmen_Twillie_(actress),-1,-1,3
6696,Q659631,Chain_mail,-1,-1,6
7892672,Q6189352,Jevan_Snead,-1,-1,2
9185348,Q5046617,Carroll_Senior_High_School,-1,-1,2
28928830,Q7121706,Pablo_(footballer),-1,-1,11
29548146,Q2056827,Omar_El_Kaddouri,-1,-1,6
14442458,Q4573581,1969_Ohio_State_vs._Michigan_football_game,-1,-1,2
58901678,Q29909088,Laurie_Segall,-1,-1,9
2836962,Q1192458,Estadio_Libertadores_de_Am?rica,-1,-1,11
6791706,Q2846688,Andrew_Miller_(baseball),-1,-1,2
44325758,Q15720581,Jessy_Tremouliere,-1,-1,0
25592934,Q651276,Help_Wanted_(SpongeBob_SquarePants),-1,-1,9
546906,Q6095720,Mufti_Mohammad_Sayeed,-1,-1,6
3152632,Q7588876,St._John_Arena,-1,-1,2
56139058,Q47004445,2018_Vanderbilt_Commodores_football_team,-1,-1,2
6092970,Q6979977,Native_Americans_and_World_War_II,-1,-1,9
1679152,Q1755023,Insignificance_(film),-1,-1,12
10046340,Q5246265,Dean_Keates,-1,-1,11
1290720,Q1062204,Adri?n_Beltr?,-1,-1,2
21313396,Q1386893,BG_Pathum_United_F.C.,-1,-1,11
593854,Q255800,Susan_Peters,-1,-1,3
54624274,Q39056015,American_Flag_Football_League,-1,-1,2
10508844,Q6490501,Larry_Highbaugh,-1,-1,2
25790858,Q12859850,Takariya_Napaltjarri,-1,-1,7
28131602,Q7765994,The_SpongeBob_SquarePants_Movie_?_Music_from_the_Movie_and_More...,-1,-1,9
14145690,Q15486435,Malcolm_Nance,-1,-1,9
17512190,Q6596620,List_of_Seattle_Seahawks_head_coaches,-1,-1,2
58596358,Q56809232,Brandon_Clarke,-1,-1,1
42887186,Q17018385,Kyle_Sinckler,-1,-1,0
2407332,Q782020,Sergio_Franchi,-1,-1,11
25526560,Q459184,Mario_Gavranovi?,-1,-1,11
3245962,Q3442796,Ross_Wallace,-1,-1,11
1166688,Q557192,Reginald_Johnston,-1,-1,12
13281082,Q6603599,List_of_Virginia_Tech_IMG_Sports_Network_stations,-1,-1,2
48733054,Q22004199,Jake_Elliott,-1,-1,2
43701226,Q18011309,Tress_Way,-1,-1,2
7709354,Q663553,Daniel_G?lin,-1,-1,12
2147828,Q5870650,History_of_the_University_of_Michigan,-1,-1,2
2336160,Q46676,ExpressJet,-1,-1,9
29098688,Q3968595,List_of_Wales_national_rugby_union_team_records,-1,-1,0
23181204,Q6796831,Mayandi_Kudumbathar,-1,-1,3
413130,Q3528190,Geoffrey_Boycott,-1,-1,3
34108516,Q4626930,2012_Texas_A&M_Aggies_football_team,-1,-1,2
57637016,Q55081088,Meghan_Murphy,-1,-1,9
4845004,Q6565685,List_of_Canadian_Football_League_stadiums,-1,-1,2
25003804,Q2001294,Style_Savvy,-1,-1,3
1410482,Q1360498,Michael_Parkhurst,-1,-1,11
41093940,Q16233894,Christian_Jones_(American_football),-1,-1,2
35410766,Q5542279,George_McCaskey,-1,-1,2
1063762,Q76583,Eugen_D?hring,-1,-1,5
3987992,Q1255535,Samuel_Johnson_(actor),-1,-1,0
5174766,Q112973,Sandy_Baron,-1,-1,1
4049422,Q6831937,Michael_Koenen,-1,-1,2
1335758,Q1035273,Car_Nicobar,-1,-1,7
51411910,Q26705087,Myles_Gaskin,-1,-1,2
8877168,Q359,WikiLeaks,-1,-1,9
57215526,Q56208934,Stevie_J_production_discography,-1,-1,3
10644740,Q902551,The_Bravados,-1,-1,3
454450,Q833065,Analytical_mechanics,-1,-1,8
2257208,Q883098,Sparkling_Cyanide,-1,-1,12
2241232,Q642911,Murder_in_Mesopotamia,-1,-1,12
571418,Q57240,Ernst_Bloch,-1,-1,5
774428,Q3555993,Vernon_Jordan,-1,-1,8
2524536,Q7609519,Stephen_Hopkins_(Mayflower_passenger),-1,-1,3
1053370,Q860590,Middle-earth_weapons_and_armour,-1,-1,6
360028,Q269449,Bill_Cash,-1,-1,10
11026396,Q1263921,Annie_Get_Your_Gun_(film),-1,-1,3
33883560,Q16253527,List_of_Penn_State_Nittany_Lions_bowl_games,-1,-1,2
42433292,Q16977365,Daredevil_(TV_series),-1,-1,3
15491650,Q1308133,Return_to_Lonesome_Dove,-1,-1,9
991546,Q1701606,John_R._Commons,-1,-1,5
52251096,Q28221336,2019_United_States_gubernatorial_elections,-1,-1,9
1537516,Q56389,Natchez_people,-1,-1,9
42210630,Q16148161,Albian_Ajeti,-1,-1,11
30730500,Q2896015,Coast_Guard_(Russia),-1,-1,6
57388902,Q63105581,Erik_Swanson,-1,-1,2
3273672,Q62478,Juan_Jos?_Linz,-1,-1,5
730556,Q123706,Jean_Ziegler,-1,-1,1
1080112,Q187664,Saint_Kitts_and_Nevis_national_football_team,-1,-1,11
30488502,Q7892139,2016_United_States_Senate_elections,-1,-1,9
237004,Q1415967,Metropolitan_Stadium,-1,-1,2
20663510,Q652815,Larry_Kudlow,-1,-1,9
1447560,Q1282951,Eddie_Robinson_(American_football_coach),-1,-1,2
58965180,Q58303166,Chad_Beebe,-1,-1,2
3785160,Q847045,Netherlands_in_the_Junior_Eurovision_Song_Contest,-1,-1,6
57428462,Q53594529,Shamorie_Ponds,-1,-1,1
34129690,Q6603792,List_of_Washington_Huskies_bowl_games,-1,-1,2
58024098,Q55820249,Emile_Smith_Rowe,-1,-1,6
52638564,Q60519253,2020_United_States_House_of_Representatives_elections,-1,-1,9
4298666,Q1195431,The_Man_Who_Fell_to_Earth,-1,-1,12
73070,Q334377,St_Albans_Cathedral,-1,-1,4
31645716,Q448002,Ratchanok_Intanon,-1,-1,1
23498962,Q3502648,Nuclear_weapons_and_Ukraine,-1,-1,6
37017734,Q6592413,List_of_North_Carolina_Tar_Heels_football_seasons,-1,-1,2
9674182,Q5568836,Glenn_Grothman,-1,-1,9
18929646,Q3154480,History_of_rugby_union_matches_between_Ireland_and_New_Zealand,-1,-1,0
290584,Q1632769,"Charles_Forte,_Baron_Forte",-1,-1,10
10819298,Q4076739,Ballybrack,-1,-1,11
55949318,Q57190792,Portugal_in_the_Junior_Eurovision_Song_Contest_2018,-1,-1,6
1977162,Q1195172,SsangYong_Chairman,-1,-1,8
2681102,Q497637,Comoros_national_football_team,-1,-1,11
1109114,Q751439,Planetary_geology,-1,-1,8
13286294,Q7109905,Otto_the_Orange,-1,-1,2
17130038,Q12858923,List_of_ports_in_England_and_Wales,-1,-1,11
144386,Q156315,Voyager_Golden_Record,-1,-1,8
8939070,Q7252469,Providence_River,-1,-1,1
919480,Q2308528,Speedwell_(1577_ship),-1,-1,3
1143760,Q129478,David_Corn,-1,-1,9
2312742,Q2291591,Gordan_Giri?ek,-1,-1,1
49096554,Q541255,Lina_(South_Korean_singer),-1,-1,11
30811472,Q5524985,Gary_Dolphin,-1,-1,1
94754,Q490210,"Rankin_County,_Mississippi",-1,-1,9
16607394,Q2682475,Delaney_Bramlett,-1,-1,12
53292210,Q28855221,20th_Century_Fox_World_(Dubai),-1,-1,8
58434056,Q56543984,Zahra_Khanum,-1,-1,6
44677908,Q18627270,Kieran_Dowell,-1,-1,11
58723064,Q58353776,My_Step_Alliance,-1,-1,6
524804,Q4932101,Bob_Cole_(sportscaster),-1,-1,2
7041034,Q1072923,Linda_Woolverton,-1,-1,3
43752140,Q18159134,West_Virginia_Mountaineers_football_statistical_leaders,-1,-1,2
18892284,Q109026,Circle_of_Life,-1,-1,3
1021358,Q303090,Chris_Armas,-1,-1,11
606142,Q542848,Marti_Webb,-1,-1,3
42082868,Q16731972,Nadia_Marcinko,-1,-1,9
952974,Q3297148,Steve_Sax,-1,-1,2
57715716,Q55616818,Liberal_Party_of_Australia_(Victorian_Division),-1,-1,10
19345678,Q6596531,List_of_Scotland_national_football_team_hat-tricks,-1,-1,11
54729708,Q39086706,List_of_iconic_photographs,-1,-1,6
47367908,Q20807306,2016_Davis_Cup,-1,-1,3
2553974,Q1040798,Rossano_Brazzi,-1,-1,3
764408,Q838418,USS_Chancellorsville,-1,-1,6
37587832,Q5275619,Diggajaru,-1,-1,3
1061150,Q175963,Joe_Theismann,-1,-1,2
3227358,Q984509,John_Sarbanes,-1,-1,9
28620982,Q3298496,Graveyard_Shift_(SpongeBob_SquarePants),-1,-1,9
5384642,Q683129,The_Out-of-Towners_(1999_film),-1,-1,3
1800624,Q2311286,Val_Doonican,-1,-1,3
44923342,Q20128093,Harry_Leslie_Smith,-1,-1,9
12917706,Q5318734,Dylan_Kerr,-1,-1,11
35647572,Q3857374,Mike_Daniels_(American_football),-1,-1,2
26000830,Q5522996,Gareth_Widdop,-1,-1,0
55524426,Q48672700,Blood_Money_(2017_film),-1,-1,8
1520138,Q2410825,Dan_Maloney,-1,-1,3
9490192,Q3187960,Judi_Meredith,-1,-1,3
23623278,Q6524237,Leo_Singer,-1,-1,3
14233950,Q66064,2008_Canadian_Grand_Prix,-1,-1,6
17628022,Q6572510,List_of_Grey_Cup_broadcasters,-1,-1,2
38834362,Q5653861,ARA_Santa_Cruz_(S-41),-1,-1,1
2201832,Q752439,Appointment_with_Death,-1,-1,12
343692,Q7598718,Stanford_Band,-1,-1,2
4136278,Q7639480,Sunday_NFL_Countdown,-1,-1,2
1762258,Q220308,Seth_Rogen,-1,-1,3
26896828,Q3833138,Linval_Joseph,-1,-1,2
2811246,Q4470217,Narcissa_Whitman,-1,-1,9
868762,Q242462,Virginia_Bruce,-1,-1,3
336784,Q494691,Cayuse_people,-1,-1,9
2755188,Q84352,Andr?_Gorz,-1,-1,5
6178986,Q1305072,Lover_Come_Back_(1961_film),-1,-1,2
1364070,Q1572700,The_Fortune_Cookie,-1,-1,2
38163018,Q4965060,Brian_Polian,-1,-1,2
20514592,Q7397547,Sadanand_Date,-1,-1,6
485516,Q818595,Beornwulf_of_Mercia,-1,-1,4
55748056,Q42955938,2018_Atlanta_United_FC_season,-1,-1,11
35650384,Q3870706,Nate_Ebner,-1,-1,0
675130,Q489328,Molecular_physics,-1,-1,8
12250748,Q6782559,Masanada_Hoovu,-1,-1,3
38909788,Q16997674,Jeffrey_Epstein_VI_Foundation,-1,-1,9
15620904,Q837998,Kingdom_of_East_Anglia,-1,-1,4
51575780,Q26257557,Rumen_Radev,-1,-1,6
38736126,Q2350103,Dani?lle_van_de_Donk,-1,-1,11
39985014,Q15287910,Josephine_Skriver,-1,-1,0
6107450,Q5226199,Daryl_Katz,-1,-1,2
521012,Q214480,Dolce_&_Gabbana,-1,-1,0
30791516,Q5527276,Gateway_Program_(Northeast_Corridor),-1,-1,9
48388068,Q27947813,MLS_Cup_2016,-1,-1,11
8141894,Q5108471,Chris_Wilder,-1,-1,11
36960670,Q3887707,Ovidiu_Ha?egan,-1,-1,11
23932028,Q7080975,Ohio_State?Penn_State_football_rivalry,-1,-1,2
271812,Q327922,National_unity_government,-1,-1,6
15181400,Q900988,List_of_UEFA_Cup_and_Europa_League_winning_managers,-1,-1,6
18327628,Q3764281,Bharathi_Vishnuvardhan,-1,-1,3
1328536,Q552813,C._Aubrey_Smith,-1,-1,3
32973630,Q5004308,Byron_Bell,-1,-1,2
2332120,Q541068,Steve_Kroft,-1,-1,1
2895976,Q4979890,Brutus_Buckeye,-1,-1,2
2860962,Q7648265,Susan_Page,-1,-1,9
637188,Q2091437,Mike_Rozier,-1,-1,2
403016,Q2259408,Pinky_(film),-1,-1,3
1008350,Q2345056,Serbian_cross,-1,-1,2
3465146,Q6224012,John_Burridge,-1,-1,11
3536552,Q274762,FC_Vorskla_Poltava,-1,-1,6
768668,Q1141458,Cape_Verde_hurricane,-1,-1,1
5771838,Q1363910,Archbishop_of_York,-1,-1,10
5614574,Q6408028,Kilmichael_Ambush,-1,-1,9
9976582,Q5870083,History_of_the_New_York_Jets,-1,-1,2
47819642,Q21005420,Jack_Conklin,-1,-1,2
1157910,Q1385340,Jimmy_Conrad,-1,-1,11
6403860,Q3537015,Tramon_Williams,-1,-1,2
48897086,Q22097322,Justin_Yoon,-1,-1,2
3091570,Q4963602,Brian_Dowling_(American_football),-1,-1,2
41722878,Q15977608,CONIFA_World_Football_Cup,-1,-1,11
8344090,Q597158,North_American_Football_Confederation,-1,-1,11
4193180,Q7750062,The_Man_from_Snowy_River_II,-1,-1,3
1736184,Q2974371,Cumulus_Media_Networks,-1,-1,2
236104,Q219712,Imperial_Japanese_Navy,-1,-1,6
28071604,Q3710642,"Gardiner,_New_York",-1,-1,1
1857064,Q4266,Party_of_Regions,-1,-1,6
12131002,Q1819149,Back_to_Bataan,-1,-1,3
58867054,Q56272128,Under_Nineteen,-1,-1,11
1101258,Q1233077,Doak_Campbell_Stadium,-1,-1,2
5016784,Q612628,La_Luna_(1979_film),-1,-1,12
33355938,Q5533037,Geneva_Summit_(1985),-1,-1,6
163514,Q349594,Buckeye,-1,-1,2
330348,Q1412602,Utopia_Planitia,-1,-1,8
50692958,Q15716483,Aahuti_(1985_film),-1,-1,3
57174216,Q52008335,Jarred_Kelenic,-1,-1,2
19895724,Q713115,Li_Congke,-1,-1,10
26779714,Q7321837,Rhys_Ruddock,-1,-1,0
1393918,Q106555,Jean_Rochefort,-1,-1,2
4392338,Q450412,Richard_Sennett,-1,-1,5
2449886,Q6675941,Loose_Ends_(band),-1,-1,11
105994,Q28984,Chlothar_I,-1,-1,4
4592140,Q2419016,Narowal_District,-1,-1,6
73524,Q323420,Westerbork_transit_camp,-1,-1,6
30309486,Q6572509,List_of_Grey_Cup_halftime_shows,-1,-1,2
13183548,Q750228,Simon_Kirby,-1,-1,10
37851434,Q7795982,Thoogudeepa_Srinivas,-1,-1,3
26846650,Q3683506,Colonist_(The_X-Files),-1,-1,3
36961918,Q4876790,Bears?Lions_rivalry,-1,-1,2
9695340,Q1284886,Tuzla_Island,-1,-1,6
16326880,Q4849014,Bakari_Sellers,-1,-1,9
2030322,Q7833485,Trans-Alaska_Pipeline_Authorization_Act,-1,-1,9
1255092,Q7262452,Puttanna_Kanagal,-1,-1,3
36331800,Q7426876,Satya_Pal_Malik,-1,-1,6
7877904,Q1385588,Scott_Pelley,-1,-1,1
37094634,Q440511,Nozomi_Okuhara,-1,-1,1
34808370,Q2371551,Halfaxa,-1,-1,0
20165786,Q2846623,Andrew_Hawkins,-1,-1,2
22465298,Q2893486,Sylven_Landesberg,-1,-1,6
56639914,Q49479228,Alex_van_der_Zwaan,-1,-1,9
6799030,Q838696,Mar?czy_Bind,-1,-1,6
48912396,Q22004933,Troy_Hill_(American_football),-1,-1,2
177792,Q259600,May_Robson,-1,-1,3
56372934,Q7842102,Triloknath_Pandit,-1,-1,7
3414836,Q3518692,Terrell_Fletcher,-1,-1,2
26274410,Q171745,Jeremy_Irons,-1,-1,3
6686098,Q3250693,List_of_Major_League_Baseball_pitchers_who_have_thrown_an_immaculate_inning,-1,-1,2
26280346,Q3254812,List_of_Australia_national_rugby_union_players,-1,-1,0
328550,Q605924,Harold_Prince,-1,-1,3
30474006,Q7052464,Norman_L._Eisen,-1,-1,9
56506,Q487605,"Saratoga_County,_New_York",-1,-1,9
56595228,Q50825253,My_Struggle_IV,-1,-1,3
44827752,Q19891463,Femina_Miss_India_2015,-1,-1,6
3680736,Q229547,Born_to_Dance,-1,-1,3
2465608,Q5177197,Australian_Country_Party_(2004),-1,-1,10
52854134,Q28445678,2019_Africa_Cup_of_Nations_qualification_Group_E,-1,-1,11
15814866,Q3044383,Occupation_of_Alcatraz,-1,-1,3
52992286,Q28529787,Madeleine_Westerhout,-1,-1,9
1068428,Q471295,Foreign_Corrupt_Practices_Act,-1,-1,9
37501742,Q73279,Evil_Dead_(2013_film),-1,-1,3
55659846,Q42403974,Khalil_Tate,-1,-1,2
16915776,Q2475526,Jarawa_language_(Andaman_Islands),-1,-1,7
3716250,Q5107516,Chris_Mortensen,-1,-1,2
306678,Q295834,Jean-Pierre_L?aud,-1,-1,12
1827152,Q721897,George_Barnes_(cinematographer),-1,-1,3
43731120,Q18158206,Daniel_Sorensen,-1,-1,2
7238008,Q10905,Eniola_Aluko,-1,-1,11
56943166,Q52458697,List_of_PSLV_launches,-1,-1,8
59031132,Q57704058,Beno?t_Badiashile,-1,-1,11
48610200,Q11366960,Presidential_elections_in_Taiwan,-1,-1,9
38187404,Q7317445,Reuben_Foster,-1,-1,2
43702164,Q18159028,Dustin_Vaughan,-1,-1,2
3101130,Q6170380,Jean_Carson,-1,-1,3
1832776,Q888415,Bobbie_Phillips,-1,-1,9
29823534,Q2163465,Graeme_Shinnie,-1,-1,11
4413558,Q943311,Randall_Collins,-1,-1,5
7690978,Q543795,Simon_Best,-1,-1,0
44067954,Q18326240,Battle_of_the_Bay_of_Biscay,-1,-1,6
49485972,Q22958727,Leonte_Carroo,-1,-1,2
45352,Q457293,Richard_Barthelmess,-1,-1,3
5658852,Q808772,Barra_brava,-1,-1,2
129248,Q715136,Pan-Green_Coalition,-1,-1,9
31274884,Q61550,Kurt_Lischka,-1,-1,5
3785572,Q327017,Sidney_Mintz,-1,-1,5
53985876,Q30224551,2019_FIBA_Basketball_World_Cup_qualification_(Africa),-1,-1,3
